image_number,sheet_url,label_url
42662, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2244dd9ad5a10270ed1661, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bae08e9b00109b0aa8
41296, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2243386c613b0278255571, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bbd7a04c000e8d85f1
40078, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241739ad5a10270ed14fc, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bbd7a04c000d8d1dcf
42096, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22446a594d90026325a526, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bdd7a04c000e8d85f8
40162, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22416a6c613b027a254e5e, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bde08e9b000f9b1a14
41000, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2242b8b83f690267bf2ddc, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bee08e9b000e9b36c2
38745, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223f829ad5a10271ecf21d, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bed7a04c000f8d295b
42937, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2244e6b83f690267bf2e85, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61bfe08e9b000d9ba909
39157, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224026594d900265259e62, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c1d7a04c000e8d85ff
39773, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224089b83f690267bf2d1a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c1e08e9b000e9b36c6
37977, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223eb5594d90026625b987, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c2d7a04c00108d08f1
38763, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223fc49ad5a10272ecfea6, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c3d7a04c000d8d1dda
41948, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2243f8594d90026425a982, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c3d7a04c00108d08f4
